store;websites;attribute_set;type;categories;sku;name;meta_title;meta_description;image;image_label;small_image;thumbnail;url_key;url_path;ean;shipping_delay;price;special_price;special_from_date;special_to_date;cost;weight;eco_participation;status;visibility;tax_class_id;color;brand;supplier_name;size;essorage;capacite;decibels;classe_energetique;description;short_description;meta_keyword;news_from_date;news_to_date;qty;is_in_stock;stock_status_changed_automatically;product_name;small_image_label;thumbnail_label;dispo;nb_couverts
admin;base;Findis;simple;"Petit electromenager::1::1::1/Le petit déjeuner::1::1::1/Machine à café::1::1::1/Filtre::1::1::1";FND-M162771EE;"Machine à café Filtre MORPHY RICHARDS - M162771EE";"Machine à café Filtre MORPHY RICHARDS - M162771EE | Lacoop.fr";"Achetez Machine à café Filtre MORPHY RICHARDS - M162771EE à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/5011832062321_1_600.jpg;"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";http://www.findis.fr/data/photos/300/5011832062321_1_300.jpg;http://www.findis.fr/data/photos/150/5011832062321_1_150.jpg;machine-à-café-filtre-morphy-richards-m162771ee;machine-à-café-filtre-morphy-richards-m162771ee.html;5011832062321;;41.88;;;;29.12;1.01;0.25;Activé;"Catalogue, Recherche";"Taxe Produits";;"MORPHY RICHARDS";FINDIS;;;"1 L";;;"<h2>Détails produit</h2><p><br>Description guide : Accents Thermos Programmable - Système anti-gouttes - Porte-filtre inox pivotant et amovible - Niveau d'eau visible - Interrupteur M/A lumineux<br>Puissance : 800 Watts<br>Capacité : 1 L<br>Capacité cafetière : 8 Tasses<br>Type de café : Moulu<br>Auto stop : Oui<br>Système anti-goutte : Oui<br>Verseuse : Isotherme<br>Le + produit : Verseuse isotherme<br>Dimensions (LxHxP) : cm</p>";"<p><br>Capacité : 1 L<br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Machine à café Filtre MORPHY RICHARDS - M162771EE";"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";;0
admin;base;Findis;simple;"Encastrable::1::1::1/La cuisson::1::1::1/Four encastrable::1::1::1";FND-H2561BPBB;"Four encastrable null MIELE - H2561BPBB";"Four encastrable null MIELE - H2561BPBB | Lacoop.fr";"Achetez Four encastrable null MIELE - H2561BPBB à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/4002515603345_1_600.jpg;"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";http://www.findis.fr/data/photos/300/4002515603345_1_300.jpg;http://www.findis.fr/data/photos/150/4002515603345_1_150.jpg;four-encastrable-null-miele-h2561bpbb;four-encastrable-null-miele-h2561bpbb.html;4002515603345;;846.66;;;;585.90;31.33;8.33;Activé;"Catalogue, Recherche";"Taxe Produits";;MIELE;FINDIS;;;;;;;"<p><br>Voir les détails produit ci-dessous</p>";;;;1;1;1;"Four encastrable null MIELE - H2561BPBB";"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";;0
admin;base;Findis;simple;"Chauffage  - climatisation::1::1::1/Traitement de l'air::1::1::1/Climatiseur::1::1::1/Accessoires::1::1::1";FND-CAK002;"Climatiseur accessoires WPRO - CAK002";"Climatiseur accessoires WPRO - CAK002 | Lacoop.fr";"Achetez Climatiseur accessoires WPRO - CAK002 à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/8015250579161_1_600.jpg;"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";http://www.findis.fr/data/photos/300/8015250579161_1_300.jpg;http://www.findis.fr/data/photos/150/8015250579161_1_150.jpg;climatiseur-accessoires-wpro-cak002;climatiseur-accessoires-wpro-cak002.html;8015250579161;;29.57;;;;20.71;27.21;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;WPRO;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Eligible TVA 10 : Non<br>Eligible TVA 5,5 : Non<br>Refroidissement : BTU/h<br>Puissance de refroidissement : 0 W<br>Puissance de chauffage : 0 W<br>Capacité de refroidissement : 0 m2<br>Capacité de déshumidification : 0 L/24H<br>Niveau de rendement énergétique : 0<br>Débit d'air : 0 m3/h<br>Réservoir : 0 L<br>Niveau sonore : 0 dB<br>Conso élec : 0 kWh/an<br>Dimensions (LxHxP) : cm</p>";"<p><br>Voir les détails produit ci-dessous</p>";;;;3;1;1;"Climatiseur accessoires WPRO - CAK002";"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";;0
admin;base;Findis;simple;"Image::1::1::1/Connectique tv  - video::1::1::1/Connectique vidéo::1::1::1";FND-TVD;"Connectique Vidéo null LINEAIRE - TVD";"Connectique Vidéo null LINEAIRE - TVD | Lacoop.fr";"Achetez Connectique Vidéo null LINEAIRE - TVD à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/3304810004089_1_600.jpg;"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";http://www.findis.fr/data/photos/300/3304810004089_1_300.jpg;http://www.findis.fr/data/photos/150/3304810004089_1_150.jpg;connectique-vidéo-null-lineaire-tvd;connectique-vidéo-null-lineaire-tvd.html;3304810004089;;1.49;;;;1.04;0.00;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;LINEAIRE;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Type de cordon : Antenne<br>Longueur cordon : 2 m</p>";"<p><br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Connectique Vidéo null LINEAIRE - TVD";"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";;0
admin;base;Findis;simple;"Encastrable::1::1::1/Les eviers::1::1::1/Evier::1::1::1/1,5 cuve::1::1::1";FND-006440;"Evier 1,5 cuve FRANKE - 006440";"Evier 1,5 cuve FRANKE - 006440 | Lacoop.fr";"Achetez Evier 1,5 cuve FRANKE - 006440 à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/7612981006440_1_600.jpg;"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";http://www.findis.fr/data/photos/300/7612981006440_1_300.jpg;http://www.findis.fr/data/photos/150/7612981006440_1_150.jpg;evier-1-5-cuve-franke-006440;evier-1-5-cuve-franke-006440.html;7612981006440;;187.64;;;;131.40;5.74;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;FRANKE;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Cuve : 1,5<br>Matière : inox<br>Dimensions : L 100 x P 50 cm</p>";"<p><br>Voir les détails produit ci-dessous</p>";;;;2;1;1;"Evier 1,5 cuve FRANKE - 006440";"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";;0
store;websites;attribute_set;type;categories;sku;name;meta_title;meta_description;image;image_label;small_image;thumbnail;url_key;url_path;ean;shipping_delay;price;special_price;special_from_date;special_to_date;cost;weight;eco_participation;status;visibility;tax_class_id;color;brand;supplier_name;size;essorage;capacite;decibels;classe_energetique;description;short_description;meta_keyword;news_from_date;news_to_date;qty;is_in_stock;stock_status_changed_automatically;product_name;small_image_label;thumbnail_label;dispo;nb_couverts
admin;base;Findis;simple;"Petit electromenager::1::1::1/Le petit déjeuner::1::1::1/Machine à café::1::1::1/Filtre::1::1::1";FND-M162771EE;"Machine à café Filtre MORPHY RICHARDS - M162771EE";"Machine à café Filtre MORPHY RICHARDS - M162771EE | Lacoop.fr";"Achetez Machine à café Filtre MORPHY RICHARDS - M162771EE à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/5011832062321_1_600.jpg;"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";http://www.findis.fr/data/photos/300/5011832062321_1_300.jpg;http://www.findis.fr/data/photos/150/5011832062321_1_150.jpg;machine-à-café-filtre-morphy-richards-m162771ee;machine-à-café-filtre-morphy-richards-m162771ee.html;5011832062321;;41.88;;;;29.12;1.01;0.25;Activé;"Catalogue, Recherche";"Taxe Produits";;"MORPHY RICHARDS";FINDIS;;;"1 L";;;"<h2>Détails produit</h2><p><br>Description guide : Accents Thermos Programmable - Système anti-gouttes - Porte-filtre inox pivotant et amovible - Niveau d'eau visible - Interrupteur M/A lumineux<br>Puissance : 800 Watts<br>Capacité : 1 L<br>Capacité cafetière : 8 Tasses<br>Type de café : Moulu<br>Auto stop : Oui<br>Système anti-goutte : Oui<br>Verseuse : Isotherme<br>Le + produit : Verseuse isotherme<br>Dimensions (LxHxP) : cm</p>";"<p><br>Capacité : 1 L<br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Machine à café Filtre MORPHY RICHARDS - M162771EE";"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";;0
admin;base;Findis;simple;"Encastrable::1::1::1/La cuisson::1::1::1/Four encastrable::1::1::1";FND-H2561BPBB;"Four encastrable null MIELE - H2561BPBB";"Four encastrable null MIELE - H2561BPBB | Lacoop.fr";"Achetez Four encastrable null MIELE - H2561BPBB à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/4002515603345_1_600.jpg;"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";http://www.findis.fr/data/photos/300/4002515603345_1_300.jpg;http://www.findis.fr/data/photos/150/4002515603345_1_150.jpg;four-encastrable-null-miele-h2561bpbb;four-encastrable-null-miele-h2561bpbb.html;4002515603345;;846.66;;;;585.90;31.33;8.33;Activé;"Catalogue, Recherche";"Taxe Produits";;MIELE;FINDIS;;;;;;;"<p><br>Voir les détails produit ci-dessous</p>";;;;1;1;1;"Four encastrable null MIELE - H2561BPBB";"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";;0
admin;base;Findis;simple;"Chauffage  - climatisation::1::1::1/Traitement de l'air::1::1::1/Climatiseur::1::1::1/Accessoires::1::1::1";FND-CAK002;"Climatiseur accessoires WPRO - CAK002";"Climatiseur accessoires WPRO - CAK002 | Lacoop.fr";"Achetez Climatiseur accessoires WPRO - CAK002 à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/8015250579161_1_600.jpg;"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";http://www.findis.fr/data/photos/300/8015250579161_1_300.jpg;http://www.findis.fr/data/photos/150/8015250579161_1_150.jpg;climatiseur-accessoires-wpro-cak002;climatiseur-accessoires-wpro-cak002.html;8015250579161;;29.57;;;;20.71;27.21;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;WPRO;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Eligible TVA 10 : Non<br>Eligible TVA 5,5 : Non<br>Refroidissement : BTU/h<br>Puissance de refroidissement : 0 W<br>Puissance de chauffage : 0 W<br>Capacité de refroidissement : 0 m2<br>Capacité de déshumidification : 0 L/24H<br>Niveau de rendement énergétique : 0<br>Débit d'air : 0 m3/h<br>Réservoir : 0 L<br>Niveau sonore : 0 dB<br>Conso élec : 0 kWh/an<br>Dimensions (LxHxP) : cm</p>";"<p><br>Voir les détails produit ci-dessous</p>";;;;3;1;1;"Climatiseur accessoires WPRO - CAK002";"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";;0
admin;base;Findis;simple;"Image::1::1::1/Connectique tv  - video::1::1::1/Connectique vidéo::1::1::1";FND-TVD;"Connectique Vidéo null LINEAIRE - TVD";"Connectique Vidéo null LINEAIRE - TVD | Lacoop.fr";"Achetez Connectique Vidéo null LINEAIRE - TVD à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/3304810004089_1_600.jpg;"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";http://www.findis.fr/data/photos/300/3304810004089_1_300.jpg;http://www.findis.fr/data/photos/150/3304810004089_1_150.jpg;connectique-vidéo-null-lineaire-tvd;connectique-vidéo-null-lineaire-tvd.html;3304810004089;;1.49;;;;1.04;0.00;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;LINEAIRE;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Type de cordon : Antenne<br>Longueur cordon : 2 m</p>";"<p><br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Connectique Vidéo null LINEAIRE - TVD";"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";;0
admin;base;Findis;simple;"Encastrable::1::1::1/Les eviers::1::1::1/Evier::1::1::1/1,5 cuve::1::1::1";FND-006440;"Evier 1,5 cuve FRANKE - 006440";"Evier 1,5 cuve FRANKE - 006440 | Lacoop.fr";"Achetez Evier 1,5 cuve FRANKE - 006440 à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/7612981006440_1_600.jpg;"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";http://www.findis.fr/data/photos/300/7612981006440_1_300.jpg;http://www.findis.fr/data/photos/150/7612981006440_1_150.jpg;evier-1-5-cuve-franke-006440;evier-1-5-cuve-franke-006440.html;7612981006440;;187.64;;;;131.40;5.74;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;FRANKE;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Cuve : 1,5<br>Matière : inox<br>Dimensions : L 100 x P 50 cm</p>";"<p><br>Voir les détails produit ci-dessous</p>";;;;2;1;1;"Evier 1,5 cuve FRANKE - 006440";"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";;0
store;websites;attribute_set;type;categories;sku;name;meta_title;meta_description;image;image_label;small_image;thumbnail;url_key;url_path;ean;shipping_delay;price;special_price;special_from_date;special_to_date;cost;weight;eco_participation;status;visibility;tax_class_id;color;brand;supplier_name;size;essorage;capacite;decibels;classe_energetique;description;short_description;meta_keyword;news_from_date;news_to_date;qty;is_in_stock;stock_status_changed_automatically;product_name;small_image_label;thumbnail_label;dispo;nb_couverts
admin;base;Findis;simple;"Petit electromenager::1::1::1/Le petit déjeuner::1::1::1/Machine à café::1::1::1/Filtre::1::1::1";FND-M162771EE;"Machine à café Filtre MORPHY RICHARDS - M162771EE";"Machine à café Filtre MORPHY RICHARDS - M162771EE | Lacoop.fr";"Achetez Machine à café Filtre MORPHY RICHARDS - M162771EE à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/5011832062321_1_600.jpg;"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";http://www.findis.fr/data/photos/300/5011832062321_1_300.jpg;http://www.findis.fr/data/photos/150/5011832062321_1_150.jpg;machine-à-café-filtre-morphy-richards-m162771ee;machine-à-café-filtre-morphy-richards-m162771ee.html;5011832062321;;41.88;;;;29.12;1.01;0.25;Activé;"Catalogue, Recherche";"Taxe Produits";;"MORPHY RICHARDS";FINDIS;;;"1 L";;;"<h2>Détails produit</h2><p><br>Description guide : Accents Thermos Programmable - Système anti-gouttes - Porte-filtre inox pivotant et amovible - Niveau d'eau visible - Interrupteur M/A lumineux<br>Puissance : 800 Watts<br>Capacité : 1 L<br>Capacité cafetière : 8 Tasses<br>Type de café : Moulu<br>Auto stop : Oui<br>Système anti-goutte : Oui<br>Verseuse : Isotherme<br>Le + produit : Verseuse isotherme<br>Dimensions (LxHxP) : cm</p>";"<p><br>Capacité : 1 L<br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Machine à café Filtre MORPHY RICHARDS - M162771EE";"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";"Machine à café Filtre MORPHY RICHARDS - M162771EE - Lacoop.fr";;0
admin;base;Findis;simple;"Encastrable::1::1::1/La cuisson::1::1::1/Four encastrable::1::1::1";FND-H2561BPBB;"Four encastrable null MIELE - H2561BPBB";"Four encastrable null MIELE - H2561BPBB | Lacoop.fr";"Achetez Four encastrable null MIELE - H2561BPBB à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/4002515603345_1_600.jpg;"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";http://www.findis.fr/data/photos/300/4002515603345_1_300.jpg;http://www.findis.fr/data/photos/150/4002515603345_1_150.jpg;four-encastrable-null-miele-h2561bpbb;four-encastrable-null-miele-h2561bpbb.html;4002515603345;;846.66;;;;585.90;31.33;8.33;Activé;"Catalogue, Recherche";"Taxe Produits";;MIELE;FINDIS;;;;;;;"<p><br>Voir les détails produit ci-dessous</p>";;;;1;1;1;"Four encastrable null MIELE - H2561BPBB";"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";"Four encastrable null MIELE - H2561BPBB - Lacoop.fr";;0
admin;base;Findis;simple;"Chauffage  - climatisation::1::1::1/Traitement de l'air::1::1::1/Climatiseur::1::1::1/Accessoires::1::1::1";FND-CAK002;"Climatiseur accessoires WPRO - CAK002";"Climatiseur accessoires WPRO - CAK002 | Lacoop.fr";"Achetez Climatiseur accessoires WPRO - CAK002 à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/8015250579161_1_600.jpg;"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";http://www.findis.fr/data/photos/300/8015250579161_1_300.jpg;http://www.findis.fr/data/photos/150/8015250579161_1_150.jpg;climatiseur-accessoires-wpro-cak002;climatiseur-accessoires-wpro-cak002.html;8015250579161;;29.57;;;;20.71;27.21;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;WPRO;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Eligible TVA 10 : Non<br>Eligible TVA 5,5 : Non<br>Refroidissement : BTU/h<br>Puissance de refroidissement : 0 W<br>Puissance de chauffage : 0 W<br>Capacité de refroidissement : 0 m2<br>Capacité de déshumidification : 0 L/24H<br>Niveau de rendement énergétique : 0<br>Débit d'air : 0 m3/h<br>Réservoir : 0 L<br>Niveau sonore : 0 dB<br>Conso élec : 0 kWh/an<br>Dimensions (LxHxP) : cm</p>";"<p><br>Voir les détails produit ci-dessous</p>";;;;3;1;1;"Climatiseur accessoires WPRO - CAK002";"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";"Climatiseur accessoires WPRO - CAK002 - Lacoop.fr";;0
admin;base;Findis;simple;"Image::1::1::1/Connectique tv  - video::1::1::1/Connectique vidéo::1::1::1";FND-TVD;"Connectique Vidéo null LINEAIRE - TVD";"Connectique Vidéo null LINEAIRE - TVD | Lacoop.fr";"Achetez Connectique Vidéo null LINEAIRE - TVD à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/3304810004089_1_600.jpg;"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";http://www.findis.fr/data/photos/300/3304810004089_1_300.jpg;http://www.findis.fr/data/photos/150/3304810004089_1_150.jpg;connectique-vidéo-null-lineaire-tvd;connectique-vidéo-null-lineaire-tvd.html;3304810004089;;1.49;;;;1.04;0.00;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;LINEAIRE;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Type de cordon : Antenne<br>Longueur cordon : 2 m</p>";"<p><br>Voir les détails produit ci-dessous</p>";;;;0;0;1;"Connectique Vidéo null LINEAIRE - TVD";"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";"Connectique Vidéo null LINEAIRE - TVD - Lacoop.fr";;0
admin;base;Findis;simple;"Encastrable::1::1::1/Les eviers::1::1::1/Evier::1::1::1/1,5 cuve::1::1::1";FND-006440;"Evier 1,5 cuve FRANKE - 006440";"Evier 1,5 cuve FRANKE - 006440 | Lacoop.fr";"Achetez Evier 1,5 cuve FRANKE - 006440 à petit prix sur LaCoop.fr. Paiement 3x sécurisé.";http://www.findis.fr/data/photos/600/7612981006440_1_600.jpg;"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";http://www.findis.fr/data/photos/300/7612981006440_1_300.jpg;http://www.findis.fr/data/photos/150/7612981006440_1_150.jpg;evier-1-5-cuve-franke-006440;evier-1-5-cuve-franke-006440.html;7612981006440;;187.64;;;;131.40;5.74;0.00;Activé;"Catalogue, Recherche";"Taxe Produits";;FRANKE;FINDIS;;;;;;"<h2>Détails produit</h2><p><br>Cuve : 1,5<br>Matière : inox<br>Dimensions : L 100 x P 50 cm</p>";"<p><br>Voir les détails produit ci-dessous</p>";;;;2;1;1;"Evier 1,5 cuve FRANKE - 006440";"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";"Evier 1,5 cuve FRANKE - 006440 - Lacoop.fr";;0
